Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Bases;Average Length;Status)	Barcode	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Serovar	Subspecies	Disease	Antigenic Formulas	Lab Contact	Phage Type	Comment	Bio Project ID	Project ID	Sample ID	Secondary Sample ID	Date Entered	Release Date	Differences	ST	HC0 (indistinguishable)	HC2	HC5	HC10	HC20	HC50	HC100	HC200	HC400	HC900 (ceBG)	HC2000 (Super-lineage)	HC2600	HC2850 (subsp.)
SAL_CA2076AA	SA19950795	SRR7504399;OXFORD_NANOPORE;Single;;SRX4373749;;;SRA,SRR1976282;LS454;Single;;SRX997241;;;NEW,SRR2125445;ILLUMINA;Paired;;SRX997247;699132500;250;NEW,GCF_001448785;Complete Genome;;;;;;Complete Genome	SAL_CA2076AA				1995	5	5		North America	Canada	Ontario	Ottawa					Milwaukee	I			Laboratory for Foodborne Zoonoses			PRJNA177577	SRP057237	SAMN03485849	SRS911467	2015-08-27	2015-07-27	NaN	156240	156240	156240	28592	28592	28592	28592	28592	28592	28592	28592	28592	2	2
SAL_CA2078AA	SA20014991	SRR2125444;ILLUMINA;Paired;;SRX997192;319848200;68;NEW,SRR1976222;LS454;Single;;SRX997190;;;NEW	SAL_CA2078AA	Human	Human	stool	2001	4			North America	Canada	Ontario		Etobicoke				Itami (Predicted)	I			Laboratory for Foodborne Zoonoses			PRJNA177232	SRP057233	SAMN03485850	SRS911421	2015-08-27	2015-07-27	NaN	28590	28590	28590	28590	28590	28590	28590	28590	28590	28590	28590	28590	104	2
SAL_CA2081AA	SA20014981	SRR1976209;LS454;Single;;SRX997163;;;NEW,GCF_001448705;Complete Genome;;;;;;Complete Genome,SRR2125442;ILLUMINA;Paired;;SRX997164;624994000;250;NEW,SRR2125443;LS454;Single;;SRX997163;;;NEW	SAL_CA2081AA	Wild Animal	Reptile	Crocodylus; meat	2001	8			North America	Canada	Ontario		Scarborough				Hvittingfoss	I			Laboratory for Foodborne Zoonoses			PRJNA177216	SRP057228	SAMN03470763	SRS911396	2015-08-27	2015-07-27	NaN	106866	106866	106866	106866	106866	28587	28587	28587	230	230	230	230	2	2
SAL_CA7548AA	ATCC 8392	SRR1917604;ILLUMINA;Paired;371;SRX901020;560224256;256;NEW	SAL_CA7548AA				2008	2			North America	Canada	Ontario						Berta (Predicted)	I			Canadian Food Inspection Agency			PRJNA273259	SRP052993	SAMN03383466	SRS864023	2015-08-27	2015-03-18	NaN	23815	23815	23814	23814	23814	23814	23814	125	125	125	125	125	2	2
SAL_CA7549AA	OLC-759	SRR1917663;ILLUMINA;Paired;283;SRX901019;565471416;212;NEW	SAL_CA7549AA	Laboratory	Laboratory	laboratory generated mutation	2007	8			North America	Canada	Ontario						Berta	I			Canadian Food Inspection Agency			PRJNA273259	SRP052993	SAMN03383465	SRS864022	2015-08-27	2015-03-18	NaN	23814	23814	23814	23814	23814	23814	23814	125	125	125	125	125	2	2
SAL_CA7550AA	OLC-1602	SRR1917660;ILLUMINA;Paired;393;SRX900841;635400194;221;NEW	SAL_CA7550AA	Livestock	Bovine	bovine feces	2014	9			North America	Canada	Ontario						Mishmarhaemek	I			Canadian Food Inspection Agency			PRJNA273259	SRP052993	SAMN03383462	SRS863915	2015-08-27	2015-03-18	NaN	23813	23813	23813	23813	23813	23813	23813	23813	23813	23813	23813	23813	23813	2
SAL_DA9149AA	EC20110222	SRR1183751;ILLUMINA;Paired;;SRX481275;306844448;248;NEW,GCF_000624275;Chromosome;;;;;;Chromosome	SAL_DA9149AA	Food	Plant	Food- mung bean-Outbreak	2005				North America	Canada	Ontario						Enteritidis	I			Laboratory for Foodborne Zoonoses, Public Health Agency of Canada			PRJNA219482	SRP039437	SAMN02384175	SRS566023	2015-08-27	2015-03-05	NaN	58327	58327	58327	58327	14192	177	12	12	12	12	12	12	2	2
SAL_DA9150AA	SA19992322	GCF_000623455;Complete Genome;;;;;;Complete Genome,SRR1183745;ILLUMINA;Paired;;SRX481269;689644344;249;NEW	SAL_DA9150AA	Human	Human	Homo sapiens; Human-Stool	1998				North America	Canada	Quebec						Enteritidis	I			Public Health Agency Canada			PRJNA219482	SRP039437	SAMN02384169	SRS566017	2015-08-27	2015-03-05	NaN	14193	14193	14193	14193	14193	87	87	87	12	12	12	12	2	2
SAL_DA9151AA	EC20120009	GCF_000626395;Chromosome;;;;;;Chromosome,SRR1184000;LS454;Single;;SRX481523;;;NEW,SRR1183768;ILLUMINA;Paired;;SRX481292;770467768;98;NEW,GCA_000626395;Complete Genome;;;;;;Complete Genome	SAL_DA9151AA	Wild Animal	Rodent	Rodent	2008				North America	Canada	Ontario						Enteritidis	I			Laboratory for Foodborne Zoonoses, Public Health Agency of Canada			PRJNA219482	SRP039437	SAMN02384192	SRS566040	2015-08-27	2015-03-05	NaN	58309	58309	58309	14192	14192	177	12	12	12	12	12	12	2	2
SAL_DA9152AA	EC20120008	SRR1183767;ILLUMINA;Paired;;SRX481291;776721540;98;NEW,SRR1183999;LS454;Single;;SRX481522;;;NEW,GCF_000626195;Complete Genome;;;;;;Complete Genome	SAL_DA9152AA	Wild Animal	Reptile	Reptile	2006				North America	Canada	Ontario						Enteritidis	I			Public Health Agency Canada			PRJNA219482	SRP039437	SAMN02384191	SRS566039	2015-08-27	2015-03-05	NaN	14191	14191	14191	14191	14191	177	12	12	12	12	12	12	2	2
SAL_DA9153AA	EC20120007	SRR1183766;ILLUMINA;Paired;;SRX481290;769087836;99;NEW,GCF_000624435;Chromosome;;;;;;Chromosome,SRR1183998;LS454;Single;;SRX481521;;;NEW	SAL_DA9153AA	Poultry	Poultry	Broiler	2011				North America	Canada	Ontario						Enteritidis	I			Public Health Agency Canada			PRJNA219482	SRP039437	SAMN02384190	SRS566038	2015-08-27	2015-03-05	NaN	58208	58208	58206	58206	14116	14116	12	12	12	12	12	12	2	2
SAL_DA9154AA	EC20120005	SRR1183765;ILLUMINA;Paired;;SRX481289;787085600;100;NEW,GCF_000623195;Complete Genome;;;;;;Complete Genome,SRR1183997;LS454;Single;;SRX481520;;;NEW	SAL_DA9154AA	Poultry	Poultry	Broiler	2011				North America	Canada	Ontario						Enteritidis	I			Laboratory for Foodborne Zoonoses, Public Health Agency of Canada			PRJNA219482	SRP039437	SAMN02384189	SRS566037	2015-08-27	2015-03-05	NaN	14190	14190	14190	182	85	12	12	12	12	12	12	12	2	2
SAL_DA9155AA	EC20120003	GCF_000624415;Chromosome;;;;;;Chromosome,SRR1183764;ILLUMINA;Paired;;SRX481288;772934778;99;Assembled,SRR1183996;LS454;Single;;SRX481519;;;NEW	SAL_DA9155AA	Livestock	Bovine	cattle	2005				North America	Canada	Ontario						Enteritidis	I			Public Health Agency Canada			PRJNA219482	SRP039437	SAMN02384188	SRS566036	2015-08-27	2015-03-05	NaN	58207	58207	58207	58207	12	12	12	12	12	12	12	12	2	2
SAL_DA9156AA	EC20120002	GCF_000624395;Complete Genome;;;;;;Complete Genome,SRR1183763;ILLUMINA;Paired;;SRX481287;762011242;97;NEW,SRR1183995;LS454;Single;;SRX481518;;;NEW	SAL_DA9156AA	Poultry	Poultry	Broiler	2010				North America	Canada	Ontario						Enteritidis	I			Public Health Agency Canada			PRJNA219482	SRP039437	SAMN02384187	SRS566035	2015-08-27	2015-03-05	NaN	14188	14188	14188	150	12	12	12	12	12	12	12	12	2	2
SAL_DA9157AA	EC20100134	GCF_000831025;Complete Genome;;;;;;Complete Genome,SRR1183994;LS454;Single;;SRX481517;;;NEW,SRR1183762;ILLUMINA;Paired;;SRX481286;776601342;99;NEW	SAL_DA9157AA	Poultry	Poultry	chicken	2009				North America	Canada	Ontario						Enteritidis	I			Laboratory for Foodborne Zoonoses, Public Health Agency of Canada			PRJNA219482	SRP039437	SAMN02384186	SRS566034	2015-08-27	2015-03-05	NaN	14187	14187	14187	14187	14187	177	12	12	12	12	12	12	2	2
SAL_DA9158AA	EC20100130	SRR1183993;LS454;Single;;SRX481516;;;NEW,SRR1183761;ILLUMINA;Paired;;SRX481285;779613516;99;NEW,GCF_000831045;Complete Genome;;;;;;Complete Genome	SAL_DA9158AA	Poultry	Poultry	chicken	2009				North America	Canada	Ontario						Enteritidis	I			Laboratory for Foodborne Zoonoses, Public Health Agency of Canada			PRJNA219482	SRP039437	SAMN02384185	SRS566033	2015-08-27	2015-03-05	NaN	14186	14186	14186	14186	580	177	12	12	12	12	12	12	2	2
SAL_DA9159AA	EC20090884	SRR1183760;ILLUMINA;Paired;;SRX481284;777450762;99;NEW,GCF_000626135;Complete Genome;;;;;;Complete Genome,SRR1183992;LS454;Single;;SRX481515;;;NEW	SAL_DA9159AA	Poultry	Poultry	chicken	2009				North America	Canada	Ontario						Enteritidis	I			Public Health Agency Canada			PRJNA219482	SRP039437	SAMN02384184	SRS566032	2015-08-27	2015-03-05	NaN	14185	14185	14048	14048	85	12	12	12	12	12	12	12	2	2
SAL_DA9160AA	EC20090531	GCF_000626155;Complete Genome;;;;;;Complete Genome,SRR1183991;LS454;Single;;SRX481514;;;NEW,SRR1183759;ILLUMINA;Paired;;SRX481283;777639456;99;NEW	SAL_DA9160AA	Poultry	Poultry	chicken	2009				North America	Canada	Ontario						Enteritidis	I			Public Health Agency Canada			PRJNA219482	SRP039437	SAMN02384183	SRS566031	2015-08-27	2015-03-05	NaN	14184	14184	14026	150	12	12	12	12	12	12	12	12	2	2
SAL_DA9161AA	EC20090332	SRR1183990;LS454;Single;;SRX481513;;;NEW,SRR1183758;ILLUMINA;Paired;;SRX481282;777778056;99;NEW,GCF_000623795;Complete Genome;;;;;;Complete Genome	SAL_DA9161AA	Poultry	Poultry	chicken	2008				North America	Canada	Ontario						Enteritidis	I			Laboratory for Foodborne Zoonoses, Public Health Agency of Canada			PRJNA219482	SRP039437	SAMN02384182	SRS566030	2015-08-27	2015-03-05	NaN	14183	14183	11154	580	580	177	12	12	12	12	12	12	2	2
SAL_DA9162AA	EC20090135	SRR1183757;ILLUMINA;Paired;;SRX481281;799815800;100;NEW,GCF_000623755;Complete Genome;;;;;;Complete Genome,SRR1183989;LS454;Single;;SRX481512;;;NEW	SAL_DA9162AA	Poultry	Poultry	chicken	2008				North America	Canada	Ontario						Enteritidis	I			Laboratory for Foodborne Zoonoses, Public Health Agency of Canada			PRJNA219482	SRP039437	SAMN02384181	SRS566029	2015-08-27	2015-03-05	NaN	14182	14182	14182	14182	12	12	12	12	12	12	12	12	2	2
SAL_DA9163AA	EC20090193	SRR1183756;ILLUMINA;Paired;;SRX481280;783597800;100;Assembled,GCF_000623775;Complete Genome;;;;;;Complete Genome,SRR1183988;LS454;Single;;SRX481511;;;NEW	SAL_DA9163AA	Poultry	Poultry	chicken	2008				North America	Canada	Ontario						Enteritidis	I			Laboratory for Foodborne Zoonoses, Public Health Agency of Canada			PRJNA219482	SRP039437	SAMN02384180	SRS566028	2015-08-27	2015-03-05	NaN	14181	14181	14181	14131	14131	177	12	12	12	12	12	12	2	2
SAL_DA9164AA	EC20100103	GCF_000626115;Complete Genome;;;;;;Complete Genome,SRR1183987;LS454;Single;;SRX481510;;;NEW,SRR1183755;ILLUMINA;Paired;;SRX481279;786952200;100;Assembled	SAL_DA9164AA	Poultry	Poultry	chicken	2009				North America	Canada	Ontario						Enteritidis	I			Laboratory for Foodborne Zoonoses, Public Health Agency of Canada			PRJNA219482	SRP039437	SAMN02384179	SRS566027	2015-08-27	2015-03-05	NaN	14180	14180	14065	150	12	12	12	12	12	12	12	12	2	2
SAL_DA9165AA	EC20100101	SRR1183754;ILLUMINA;Paired;;SRX481278;763210084;98;Assembled,SRR1183986;LS454;Single;;SRX481509;;;NEW,GCF_000626215;Complete Genome;;;;;;Complete Genome	SAL_DA9165AA	Poultry	Poultry	chicken	2009				North America	Canada	Ontario						Enteritidis	I			Laboratory for Foodborne Zoonoses, Public Health Agency of Canada			PRJNA219482	SRP039437	SAMN02384178	SRS566026	2015-08-27	2015-03-05	NaN	14179	14179	14179	150	12	12	12	12	12	12	12	12	2	2
SAL_DA9166AA	EC20111174	SRR1183985;LS454;Single;;SRX481508;;;NEW,GCF_000626355;Complete Genome;;;;;;Complete Genome,SRR1183753;ILLUMINA;Paired;;SRX481277;762162174;97;NEW	SAL_DA9166AA	Poultry	Environment	Environmental (Chicken Fluff)-Outbreak	2011				North America	Canada	Quebec						Enteritidis	I			Public Health Agency Canada			PRJNA219482	SRP039437	SAMN02384177	SRS566025	2015-08-27	2015-03-05	NaN	14178	14178	14178	182	85	12	12	12	12	12	12	12	2	2
SAL_DA9167AA	EC20111175	GCF_000626335;Complete Genome;;;;;;Complete Genome,SRR1183984;LS454;Single;;SRX481507;;;NEW,SRR1183752;ILLUMINA;Paired;;SRX481276;764805230;97;NEW	SAL_DA9167AA	Poultry	Environment	Environmental (Chicken Fluff)-Outbreak	2011				North America	Canada	Quebec						Enteritidis	I			Laboratory for Foodborne Zoonoses, Public Health Agency of Canada			PRJNA219482	SRP039437	SAMN02384176	SRS566024	2015-08-27	2015-03-05	NaN	14177	14177	14136	182	85	12	12	12	12	12	12	12	2	2
SAL_DA9168AA	EC20110221	SRR1183750;ILLUMINA;Paired;;SRX481274;785611530;99;Assembled,GCF_000626235;Complete Genome;;;;;;Complete Genome,SRR1183983;LS454;Single;;SRX481506;;;NEW	SAL_DA9168AA	Food	Plant	Food- mung bean-Outbreak	2005				North America	Canada	Ontario						Enteritidis	I			Laboratory for Foodborne Zoonoses, Public Health Agency of Canada			PRJNA219482	SRP039437	SAMN02384174	SRS566022	2015-08-27	2015-03-05	NaN	14176	14176	11335	4572	580	177	12	12	12	12	12	12	2	2
SAL_DA9169AA	EC20090698	GCF_000626255;Complete Genome;;;;;;Complete Genome,SRR1183749;ILLUMINA;Paired;;SRX481273;774257428;98;NEW,SRR1183982;LS454;Single;;SRX481505;;;NEW	SAL_DA9169AA	Poultry	Poultry	chicken-abbatoir-Sporadic	2008				North America	Canada	Alberta						Enteritidis	I			Laboratory for Foodborne Zoonoses, Public Health Agency of Canada			PRJNA219482	SRP039437	SAMN02384173	SRS566021	2015-08-27	2015-03-05	NaN	14175	14175	14175	14175	12	12	12	12	12	12	12	12	2	2
SAL_DA9170AA	EC20090641	GCF_000626275;Complete Genome;;;;;;Complete Genome,SRR1183748;ILLUMINA;Paired;;SRX481272;760284254;97;NEW,SRR1183981;LS454;Single;;SRX481504;;;NEW	SAL_DA9170AA	Poultry	Poultry	chicken-abbatoir-Sporadic	2008				North America	Canada	Alberta						Enteritidis	I			Laboratory for Foodborne Zoonoses, Public Health Agency of Canada			PRJNA219482	SRP039437	SAMN02384172	SRS566020	2015-08-27	2015-03-05	NaN	14174	14174	14174	580	580	177	12	12	12	12	12	12	2	2
SAL_DA9171AA	EC20110355	GCF_000626295;Complete Genome;;;;;;Complete Genome,SRR1183980;LS454;Single;;SRX481503;;;NEW,SRR1183747;ILLUMINA;Paired;;SRX481271;778267314;99;NEW	SAL_DA9171AA	Food	ND/Others	Food Breast-Outbreak	2009				North America	Canada	Alberta						Enteritidis	I			Public Health Agency Canada			PRJNA219482	SRP039437	SAMN02384171	SRS566019	2015-08-27	2015-03-05	NaN	14173	14173	14173	150	12	12	12	12	12	12	12	12	2	2
SAL_DA9172AA	EC20110353	SRR1183979;LS454;Single;;SRX481502;;;NEW,GCF_000626315;Complete Genome;;;;;;Complete Genome,SRR1183746;ILLUMINA;Paired;;SRX481270;635207430;247;NEW	SAL_DA9172AA	Food	Swine	Food - Pork dumpling-Outbreak	2010				North America	Canada	Alberta						Enteritidis	I			Public Health Agency Canada			PRJNA219482	SRP039437	SAMN02384170	SRS566018	2015-08-27	2015-03-05	NaN	14172	14172	14172	14172	14172	14172	14172	14172	14172	12	12	12	2	2
SAL_DA9173AA	EC20111095	GCF_000626375;Complete Genome;;;;;;Complete Genome,SRR1183744;ILLUMINA;Paired;;SRX481268;777496328;98;Assembled,SRR1183978;LS454;Single;;SRX481501;;;NEW	SAL_DA9173AA	Human	Human	Homo sapiens; Human-Outbreak	2011				North America	Canada	Quebec						Enteritidis	I			Public Health Agency Canada			PRJNA219482	SRP039437	SAMN02384168	SRS566016	2015-08-27	2015-03-05	NaN	14136	14136	14136	182	85	12	12	12	12	12	12	12	2	2
SAL_DA9174AA	EC20110361	GCF_000623275;Complete Genome;;;;;;Complete Genome,SRR1183743;ILLUMINA;Paired;;SRX481267;759037610;97;NEW,SRR1183977;LS454;Single;;SRX481500;;;NEW	SAL_DA9174AA	Human	Human	Homo sapiens; Human-Sporadic	2009				North America	Canada	Alberta						Enteritidis	I			Public Health Agency Canada			PRJNA219482	SRP039437	SAMN02384167	SRS566015	2015-08-27	2015-03-05	NaN	14171	14171	14171	14171	85	12	12	12	12	12	12	12	2	2
SAL_DA9175AA	EC20110360	SRR1183742;ILLUMINA;Paired;;SRX481266;768573428;98;NEW,GCF_000623295;Complete Genome;;;;;;Complete Genome,SRR1183976;LS454;Single;;SRX481499;;;NEW	SAL_DA9175AA	Human	Human	Homo sapiens; Human-Sporadic	2004				North America	Canada	Alberta						Enteritidis	I			Public Health Agency Canada			PRJNA219482	SRP039437	SAMN02384166	SRS566014	2015-08-27	2015-03-05	NaN	14170	14170	14170	614	85	12	12	12	12	12	12	12	2	2
SAL_DA9176AA	EC20110223	SRR1183741;ILLUMINA;Paired;;SRX481265;761784650;97;NEW,GCF_000623175;Complete Genome;;;;;;Complete Genome,SRR1183975;LS454;Single;;SRX481498;;;NEW	SAL_DA9176AA	Human	Human	Homo sapiens; Human- mung bean-Outbreak	2005				North America	Canada	Ontario						Enteritidis	I			Public Health Agency Canada			PRJNA219482	SRP039437	SAMN02384165	SRS566013	2015-08-27	2015-03-05	NaN	14169	14169	14169	14169	580	177	12	12	12	12	12	12	2	2
SAL_DA9177AA	EC20110359	SRR1183974;LS454;Single;;SRX481497;;;NEW,SRR1183740;ILLUMINA;Paired;;SRX481264;768094306;97;NEW,GCF_000623315;Complete Genome;;;;;;Complete Genome	SAL_DA9177AA	Human	Human	Homo sapiens; Human-Sporadic	2004				North America	Canada	Alberta						Enteritidis	I			Public Health Agency Canada			PRJNA219482	SRP039437	SAMN02384164	SRS566012	2015-08-27	2015-03-05	NaN	14168	14168	14168	14168	580	177	12	12	12	12	12	12	2	2
SAL_DA9178AA	EC20110358	SRR1183973;LS454;Single;;SRX481496;;;NEW,GCF_000623335;Complete Genome;;;;;;Complete Genome,SRR1183739;ILLUMINA;Paired;;SRX481263;755688976;98;Assembled	SAL_DA9178AA	Human	Human	Homo sapiens; Human-Sporadic	2009				North America	Canada	Alberta						Enteritidis	I			Public Health Agency Canada			PRJNA219482	SRP039437	SAMN02384163	SRS566011	2015-08-27	2015-03-05	NaN	14167	14135	14135	14135	14135	14135	12	12	12	12	12	12	2	2
SAL_DA9179AA	EC20110357	SRR1183738;ILLUMINA;Paired;;SRX481262;748235496;97;NEW,GCF_000623355;Complete Genome;;;;;;Complete Genome,SRR1183972;LS454;Single;;SRX481495;;;NEW	SAL_DA9179AA	Human	Human	Homo sapiens; Human-Sporadic	2003				North America	Canada	Alberta						Enteritidis	I			Public Health Agency Canada			PRJNA219482	SRP039437	SAMN02384162	SRS566010	2015-08-27	2015-03-05	NaN	14166	14166	14166	14166	14166	14166	14166	12	12	12	12	12	2	2
SAL_DA9180AA	EC20110356	SRR1183971;LS454;Single;;SRX481494;;;NEW,SRR1183737;ILLUMINA;Paired;;SRX481261;769044712;97;NEW,GCF_000623375;Complete Genome;;;;;;Complete Genome	SAL_DA9180AA	Human	Human	Homo sapiens; Human-Outbreak	2009				North America	Canada	Alberta						Enteritidis	I			Laboratory for Foodborne Zoonoses, Public Health Agency of Canada			PRJNA219482	SRP039437	SAMN02384161	SRS566009	2015-08-27	2015-03-05	NaN	14165	14165	14067	150	12	12	12	12	12	12	12	12	2	2
SAL_DA9181AA	EC20110354	SRR1183970;LS454;Single;;SRX481493;;;NEW,SRR1183736;ILLUMINA;Paired;;SRX481260;777087864;98;Assembled,GCF_000626175;Complete Genome;;;;;;Complete Genome	SAL_DA9181AA	Human	Human	Homo sapiens; Human (hospitalized)-Outbreak	2010				North America	Canada	Alberta						Enteritidis	I			Laboratory for Foodborne Zoonoses, Public Health Agency of Canada			PRJNA219482	SRP039437	SAMN02384160	SRS566008	2015-08-27	2015-03-05	NaN	14164	14164	14058	150	12	12	12	12	12	12	12	12	2	2
SAL_DA9182AA	EC20120969	SRR1183916;ILLUMINA;Paired;;SRX481440;658234008;246;Assembled,GCF_000625215;Chromosome;;;;;;Chromosome	SAL_DA9182AA	Food	ND/Others	food	2012				North America	Canada	Ontario						Enteritidis	I			Public Health Agency Canada			PRJNA219482	SRP039437	SAMN02384340	SRS566195	2015-08-27	2015-03-05	NaN	58265	58265	58265	58265	12	12	12	12	12	12	12	12	2	2
SAL_DA9183AA	EC20120929	SRR1183915;ILLUMINA;Paired;;SRX481439;80602480;248;NEW,GCF_000626415;Complete Genome;;;;;;Complete Genome	SAL_DA9183AA	Poultry	Poultry	ANIMAL-chicken	2012				North America	Canada	Ontario						Enteritidis	I			Public Health Agency Canada			PRJNA219482	SRP039437	SAMN02384339	SRS566194	2015-08-27	2015-03-05	NaN	14162	14162	14162	14162	14162	14162	14162	12	12	12	12	12	2	2
SAL_DA9184AA	EC20120927	GCF_000625155;Chromosome;;;;;;Chromosome,SRR1183914;ILLUMINA;Paired;;SRX481438;797726514;247;NEW	SAL_DA9184AA	Poultry	Poultry	ANIMAL-chicken	2012				North America	Canada	Ontario						Enteritidis	I			Public Health Agency Canada			PRJNA219482	SRP039437	SAMN02384338	SRS566193	2015-08-27	2015-03-05	NaN	58267	58267	58267	58267	4551	4551	12	12	12	12	12	12	2	2
SAL_DA9185AA	EC20121689	SRR1183913;ILLUMINA;Paired;;SRX481437;510012090;245;NEW,GCF_000624795;Chromosome;;;;;;Chromosome	SAL_DA9185AA	Food	ND/Others	food	2012				North America	Canada	Ontario						Enteritidis	I			Laboratory for Foodborne Zoonoses, Public Health Agency of Canada			PRJNA219482	SRP039437	SAMN02384337	SRS566192	2015-08-27	2015-03-05	NaN	58274	58274	58274	58274	58274	9391	12	12	12	12	12	12	2	2
